epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0979,1.91451,3.13888,1.77355,0.44637,0.34789,0.26611,0.1195,1.98427,2.48608,1.67173,0.00030205,0.00030205,0.00030205
2,123.664,1.85179,2.33642,1.69851,0.46783,0.3694,0.3243,0.14282,1.92294,2.38513,1.7162,0.00054515,0.00054515,0.00054515
3,180.334,1.81874,2.05718,1.67074,0.50386,0.37682,0.33739,0.16299,1.86462,1.95541,1.62989,0.000728256,0.000728256,0.000728256
4,236.362,1.7861,1.87114,1.64313,0.54648,0.39973,0.40435,0.20112,1.79949,1.86193,1.5962,0.000639027,0.000639027,0.000639027
5,292.514,1.73905,1.71613,1.60789,0.48366,0.46238,0.41508,0.20027,1.81382,1.82182,1.58789,0.000549036,0.000549036,0.000549036
6,348.752,1.70796,1.62871,1.59458,0.45407,0.50457,0.44746,0.22312,1.80212,1.71951,1.60896,0.000459045,0.000459045,0.000459045
7,405.19,1.67472,1.54816,1.561,0.44221,0.51492,0.46177,0.22679,1.81012,1.66494,1.59809,0.000369054,0.000369054,0.000369054
8,461.484,1.63714,1.45818,1.52997,0.53602,0.4802,0.49449,0.24663,1.78533,1.57663,1.56511,0.000279063,0.000279063,0.000279063
9,517.834,1.6051,1.38741,1.50575,0.50476,0.51859,0.50506,0.25678,1.75456,1.56036,1.55926,0.000189072,0.000189072,0.000189072
10,574.285,1.57515,1.32776,1.49246,0.49292,0.52769,0.49281,0.2634,1.72424,1.49856,1.53467,9.9081e-05,9.9081e-05,9.9081e-05
